SNP1 SNP2 Zscore ZP 
X0 X1 0.580536604058381 0.561552809867699
X0 X2 -0.470898873611198 0.637712952451754
X1 X2 0.548143169398116 0.583593600679937
X0 X3 1.13145857349402 0.257862130185651
X1 X3 0.713533838197963 0.475515481824272
X2 X3 0.510817801967434 0.609478642547666
X0 X4 1.17466113303395 0.240130314908965
X1 X4 1.41082126886826 0.158297321472784
X2 X4 0.216433475931867 0.82864987456828
X3 X4 1.3742144859546 0.169375104863841
X0 X5 1.22550299797253 0.220385761215486
X1 X5 1.18330051954219 0.236690066983508
X2 X5 1.33085169043371 0.183237815727978
X3 X5 -1.71642895034502 0.0860835616405317
X4 X5 0.758893304376419 0.447916384584202
X0 X6 -2.50576242473852 0.0122187688621119
X1 X6 1.10496359556153 0.269175363822057
X2 X6 0.859274748671003 0.390188952170745
X3 X6 0.698840824282668 0.484651512418162
X4 X6 -0.834948387803447 0.403746768761488
X5 X6 -0.940926394714585 0.346742580281105
X0 X7 -1.61560877612156 0.106178925248149
X1 X7 0.803094904718496 0.421919882519455
X2 X7 1.04028597686276 0.298207057282332
X3 X7 0.697324195983919 0.485599929085472
X4 X7 -0.223327549610582 0.823280587175337
X5 X7 -0.961621110713892 0.336239963154977
X6 X7 -0.574612035875205 0.565553710240802
X0 X8 -1.18917430595569 0.23437108311101
X1 X8 0.718763724229532 0.472286512342848
X2 X8 -0.632012334921425 0.527378817114395
X3 X8 0.161973962618958 0.8713263579109
X4 X8 0.920909859355418 0.357097490667486
X5 X8 0.826304009286745 0.408631659743335
X6 X8 0.548888488345179 0.583081978681772
X7 X8 -1.10167235458178 0.270604139858978
X0 X9 -0.387634776824229 0.698286329179225
X1 X9 -0.416647101943328 0.676936551550024
X2 X9 0.578474477493139 0.562943823839525
X3 X9 -0.841822466693263 0.399887334320031
X4 X9 -0.602289514906894 0.546981438994491
X5 X9 -0.694459997123917 0.487393779263045
X6 X9 -0.155546837059129 0.876390232603549
X7 X9 1.87980732785237 0.0601343414130342
X8 X9 1.08880691953946 0.276239039589973
X0 X10 -0.962966971295557 0.335564098625221
X1 X10 0.26059949839958 0.794401376536782
X2 X10 -0.963375350639009 0.335359191708756
X3 X10 -1.37380554969745 0.169502057767761
X4 X10 -0.420511579675779 0.674111771940247
X5 X10 -0.596331628316918 0.550953705889885
X6 X10 -0.585549810147852 0.558178084616621
X7 X10 0.175052089334841 0.861038704054492
X8 X10 0.757204370340781 0.448927432323372
X9 X10 0.86583378525446 0.3865813187811
X0 X11 -0.805705805276863 0.420412501403347
X1 X11 -1.64067103893731 0.10086571981794
X2 X11 -0.782048984880046 0.434185786150808
X3 X11 -2.8222699039713 0.00476850266741969
X5 X11 0.60685764150749 0.543945390973575
X6 X11 0.403553140982998 0.686541349679014
X7 X11 1.07639748781494 0.281749525420833
X8 X11 0.23955811992302 0.810672834877821
X9 X11 -0.434888904746446 0.66364306852489
